home_gid9,car_tt_kfreq,pt_tt_kfreq,car_tt_kdist,pt_tt_kdist,user_id,home_grd_id,inc_quar,name,NAME_3,stay_gid9,poi_count,log_poi,pt_tt_diff,log_pt_diff,perc_pt_diff,poi_deciles
891126d72cfffff,6.086166923926959,6.086166923926959,5.722841236565668,5.722841236565668,1,1kmN6683E0391,Q3,Helsinki,Helsinki,891126d72cfffff,88.0,4.48863636973214,0.3633256873612911,0.052633694788823515,0.06348694159814336,"(4.382, 7.812]"
891126d72d3ffff,43.59090941868317,45.85895843506996,16.199907370818675,45.85155692826319,6,1kmN6677E0392,Q1,Helsinki,Helsinki,891126d72d3ffff,49.0,3.912023005428146,0.007401506806765212,0.0001579653423835481,0.00016142323843757803,"(3.807, 4.382]"
891126d730bffff,9.0,37.0,6.011603245742154,13.092825965937232,1,1kmN6686E0392,Q1,Vantaa,Helsinki,891126d730bffff,48.0,3.8918202981106265,23.90717403406277,0.9919202885652871,1.8259750871401281,"(3.807, 4.382]"
891126d731bffff,8.0,19.0,5.726637780547058,8.0,1,1kmN6686E0392,Q1,Vantaa,Helsinki,891126d731bffff,39.0,3.6888794541139363,11.0,0.7985076962177713,1.375,"(3.434, 3.807]"
891126d7343ffff,8.75,17.5,8.382133115209818,11.0,2,1kmN6685E0392,Q4,Vantaa,Helsinki,891126d7343ffff,20.0,3.044522437723423,6.5,0.4328640822962786,0.5909090909090909,"(2.944, 3.178]"
891126d7387ffff,17.665804010781454,26.263374744066354,9.895062116099531,21.5,2,1kmN6688E0390,Q1,Vantaa,Helsinki,891126d7387ffff,45.0,3.828641396489095,4.763374744066354,0.19202890778397164,0.22155231367750483,"(3.807, 4.382]"
891126d738bffff,5.757721423035134,5.814026609597295,5.73753410369049,5.763467232609772,2,1kmN7009E0227,Q1,Vaasa,Vaasa,891126d738bffff,56.0,4.04305126783455,0.050559376987522775,0.007447561570565364,0.008772389075356787,"(3.807, 4.382]"
891126d73b3ffff,24.549935454252672,18.316361136628053,5.942137142837347,7.192137142837347,2,1kmN6687E0392,Q1,Vantaa,Helsinki,891126d73b3ffff,20.0,3.044522437723423,11.124223993790707,0.8577776548533991,1.546720226945245,"(2.944, 3.178]"
891126d73b7ffff,9.0,19.0,9.0,19.0,3,1kmN6687E0392,Q1,Vantaa,Helsinki,891126d73b7ffff,18.0,2.9444389791664403,0.0,0.0,0.0,"(2.639, 2.944]"
891126d73cbffff,7.0,8.0,7.0,8.0,1,1kmN6710E0243,Q1,Turku,Turku,891126d73cbffff,266.0,5.58724865840025,0.0,0.0,0.0,"(4.382, 7.812]"
891126d73cfffff,6.0,6.0,6.0,6.0,2,1kmN6685E0392,Q4,Vantaa,Helsinki,891126d73cfffff,84.0,4.442651256490317,0.0,0.0,0.0,"(4.382, 7.812]"
891126d73d7ffff,121.32748792931292,121.32748792931292,5.742941169820299,5.742941169820299,1,1kmN6675E0373,Q1,Kauniainen,Helsinki,891126d73d7ffff,90.0,4.51085950651685,115.58454675949262,2.8982055705662213,20.126367890881486,"(4.382, 7.812]"
891126d742fffff,18.682641951561592,33.87474390084043,10.296415966306043,31.38612529173004,2,1kmN6686E0389,Q2,Vantaa,Helsinki,891126d742fffff,17.0,2.8903717578961645,2.4886186091103895,0.07403279742532876,0.07929040574390742,"(2.639, 2.944]"
891126d7443ffff,10.0,39.0,10.0,39.0,1,1kmN6685E0388,Q2,Vantaa,Helsinki,891126d7443ffff,16.0,2.833213344056216,0.0,0.0,0.0,"(2.639, 2.944]"
891126d744bffff,5.721192246847815,5.721192246847815,5.721192246847815,5.721192246847815,1,1kmN6685E0388,Q2,Vantaa,Helsinki,891126d744bffff,18.0,2.9444389791664403,0.0,0.0,0.0,"(2.639, 2.944]"
891126d7503ffff,16.5,73.0,16.5,73.0,1,1kmN6688E0389,Q1,Vantaa,Helsinki,891126d7503ffff,22.0,3.1354942159291497,0.0,0.0,0.0,"(2.944, 3.178]"
891126d7507ffff,10.70886758212944,32.439045810971464,8.5,26.5,2,1kmN6688E0389,Q1,Vantaa,Helsinki,891126d7507ffff,25.0,3.258096538021482,5.939045810971464,0.19553824877596115,0.22411493626307413,"(3.178, 3.434]"
