grd_id,n_users,popu,city,region,mean_qk,mean_qk_nw,log_poi,mean_qk_null
1kmN7174E0379,7,826.0,Raahe,Raahe,0.5473484848484849,0.6646825396825397,1.0554843879027391,0.6538421852937982
1kmN7174E0380,6,447.0,Raahe,Raahe,0.6335140018066847,0.7118055555555555,1.0554524927472353,1.0
1kmN7174E0381,7,1010.0,Raahe,Raahe,0.7976190476190476,0.8119047619047619,0.7224929211523493,0.4468406232585692
1kmN7175E0379,7,1423.0,Raahe,Raahe,0.5295454545454545,0.6832706766917294,9.763564682119664,0.42445699547189
1kmN7175E0380,7,845.0,Raahe,Raahe,0.7194805194805195,0.6360544217687075,2.6587734399485115,0.4638097714878844
1kmN7176E0379,8,1374.0,Raahe,Raahe,0.8344253344253344,0.7769144144144144,1.9487976563815788,0.6399928454924791
1kmN7176E0380,7,1544.0,Raahe,Raahe,0.7208874458874458,0.8603174603174603,1.4216312292599036,0.9355076213591792
1kmN7176E0381,11,1285.0,Raahe,Raahe,0.9231196610875756,0.9333333333333336,0.7507914996745739,0.6547364672364673
1kmN7176E0382,7,975.0,Raahe,Raahe,0.8095238095238095,0.8142857142857143,0.3085770175243353,0.8213833820318869
1kmN7176E0383,9,786.0,Raahe,Raahe,0.7333488951136009,0.7707323865218602,0.7061707259515768,0.7588355247384846
1kmN7176E0384,8,1039.0,Raahe,Raahe,0.7566964285714286,0.8263888888888888,1.632126684195035,1.0
1kmN7183E0436,8,656.0,Tyrnävä,Oulu,0.8723958333333334,0.9140625,0.040774382238223,0.5061308023363865
1kmN7187E0424,9,612.0,Liminka,Oulu,0.6388888888888888,0.7441606467148263,1.270261284123861,0.9696969696969696
1kmN7187E0425,8,465.0,Liminka,Oulu,0.7685335497835498,0.7311507936507937,0.911849828444156,0.546493086046017
1kmN7187E0452,7,802.0,Muhos,Oulu,0.5051020408163265,0.4285714285714285,3.0465582260597524,0.9607971014492752
1kmN7188E0424,7,796.0,Liminka,Oulu,0.511904761904762,0.582046332046332,3.098696777486617,0.9053734067620216
1kmN7190E0437,6,573.0,Tyrnävä,Oulu,0.6279761904761905,0.7870370370370371,0.3537733805940138,
1kmN7193E0427,11,740.0,Liminka,Oulu,0.7943722943722943,0.8535353535353536,0.7217252470489439,0.8846068071278671
1kmN7194E0426,7,732.0,Liminka,Oulu,0.9285714285714286,0.9682539682539684,0.5299557670734921,0.6280349647137031
1kmN7196E0432,6,633.0,Kempele,Oulu,0.8260869565217391,0.959831705961737,0.1448096383426581,0.5420029539188914
1kmN7197E0431,7,621.0,Kempele,Oulu,0.7879464285714286,0.9375,0.4473840437985694,0.4562390278906666
1kmN7198E0428,6,659.0,Kempele,Oulu,0.7039627039627039,0.8076923076923076,0.1697970636699377,0.7059038301911696
1kmN7198E0429,6,188.0,Kempele,Oulu,0.7692307692307692,0.9111111111111112,0.7338858874360479,0.5438329795002793
1kmN7198E0430,6,507.0,Kempele,Oulu,0.564021164021164,0.6263993316624895,5.04614471311586,0.6840278609378818
1kmN7198E0431,11,1290.0,Kempele,Oulu,0.8583333333333333,0.868939393939394,1.6311736284266671,0.711062552287205
1kmN7199E0427,9,1120.0,Kempele,Oulu,0.7262694821518351,0.8049382716049382,0.520240921095549,0.5478965777420173
1kmN7199E0428,10,1842.0,Kempele,Oulu,0.7433333333333334,0.8333333333333333,1.570488491525032,0.6838145843865597
1kmN7199E0429,8,1885.0,Kempele,Oulu,0.7392787524366471,0.7913157894736842,3.22142188231774,0.675846610873518
1kmN7199E0430,7,608.0,Kempele,Oulu,0.6547619047619048,0.7990723562152133,0.8051103866408311,0.4894791183137202
1kmN7199E0431,9,1197.0,Kempele,Oulu,0.7074074074074074,0.8398268398268398,0.9013405537681431,0.5856373528307631
1kmN7200E0431,9,1532.0,Kempele,Oulu,0.8481481481481481,0.9841269841269842,0.8783792219718889,0.6022449774523513
1kmN7200E0432,6,505.0,Kempele,Oulu,0.7541666666666668,0.7904761904761904,0.4201250834648562,0.789006755563757
1kmN7201E0429,7,473.0,Kempele,Oulu,0.6304941541834125,0.7719871051339122,2.434582581990853,0.7631111950940717
1kmN7202E0423,8,694.0,Oulu,Oulu,0.5958633826664994,0.5772644927536232,0.3629480670868146,0.975350935828877
1kmN7202E0424,9,1153.0,Oulu,Oulu,0.8209876543209877,0.8487654320987654,3.846813552369765,0.6096348688566232
1kmN7202E0425,10,1107.0,Oulu,Oulu,0.6316017316017316,0.7589743589743589,1.5313159786027817,0.6624259722755154
1kmN7202E0431,8,642.0,Kempele,Oulu,0.8138888888888889,0.8177521008403361,0.5769747998079868,0.5083345225647171
1kmN7203E0424,10,758.0,Oulu,Oulu,0.8820346320346321,0.9454545454545454,0.411256886247266,0.5507136224471196
1kmN7203E0426,7,338.0,Oulu,Oulu,0.4580498866213151,0.541991341991342,0.5473641078352915,0.619107927273803
1kmN7203E0431,11,1980.0,Oulu,Oulu,0.5402236652236652,0.8257575757575758,1.425974265042348,0.5039968000961682
1kmN7203E0432,12,2170.0,Oulu,Oulu,0.7467592592592592,0.7851851851851852,1.362874210222037,0.499699738137473
1kmN7204E0429,6,299.0,Oulu,Oulu,0.6648351648351648,0.9222222222222222,0.6474110194047917,0.8991907107670655
1kmN7204E0430,8,1973.0,Oulu,Oulu,0.7817460317460317,0.8312908496732027,3.890478450583727,0.4387167342760964
1kmN7204E0431,12,1670.0,Oulu,Oulu,0.7098063973063974,0.7775106837606837,1.662398715985115,0.5328236661061999
1kmN7205E0429,6,703.0,Oulu,Oulu,0.369047619047619,0.4583333333333333,1.6620679653044057,0.4927502370813825
1kmN7205E0430,10,1289.0,Oulu,Oulu,0.67,0.7833333333333334,0.5968689070230083,0.6263753579738871
1kmN7205E0431,8,1289.0,Oulu,Oulu,0.4673611111111111,0.596088943950786,1.067260356099133,0.6127071944792051
1kmN7205E0432,7,540.0,Oulu,Oulu,0.6258503401360543,0.817687074829932,0.6198404259758884,0.7435464222216269
1kmN7205E0434,9,952.0,Oulu,Oulu,0.5462962962962963,0.5685185185185184,0.6110564806841573,0.7048549048162428
1kmN7206E0429,7,577.0,Oulu,Oulu,0.7202380952380951,0.7857142857142857,1.04791438996235,0.9297052154195012
1kmN7206E0432,11,600.0,Oulu,Oulu,0.7234848484848485,0.7702797202797204,1.2315291597614015,0.5256408179064199
1kmN7207E0428,9,865.0,Oulu,Oulu,0.6557319223985891,0.7374579124579124,1.1600489945102528,0.6398809523809523
1kmN7207E0429,10,1703.0,Oulu,Oulu,0.7787499999999999,0.8945833333333333,1.728421202893516,0.5473092969143225
1kmN7207E0430,7,1375.0,Oulu,Oulu,0.6212121212121212,0.6952380952380952,0.735787171038934,0.4725170819195521
1kmN7207E0432,12,1899.0,Oulu,Oulu,0.653030303030303,0.7520833333333333,2.21518300122092,0.4626281436435347
1kmN7207E0433,8,456.0,Oulu,Oulu,0.7940705128205128,0.8958333333333333,0.5100424512731748,0.5838670598806113
1kmN7208E0427,8,2.0,Oulu,Oulu,0.6279761904761905,0.8017361111111111,5.775181089643741,
