user_id,visit_freq,home_dist,work_dist,CIVIC_RELIGION,CULTURE,DINING,EDUCATION,FITNESS,GROCERIES,HEALTHCARE,PARK,RETAIL,SERVICE,TOURISM,TRANSPORT
2ae0928e-22e9-40ca-ad99-d306f12c433c,6,493.5469304,1884.234236,0,0,0,4,0,2,0,0,1,3,0,0
2ae0928e-22e9-40ca-ad99-d306f12c433c,624,22.02692463,1423.464229,1,0,2,3,0,0,1,0,5,4,1,0
2ae0928e-22e9-40ca-ad99-d306f12c433c,2,689.7723263,1337.926324,0,1,1,2,0,1,1,0,2,0,0,0
2ae0928e-22e9-40ca-ad99-d306f12c433c,6,53316.49687,,0,3,15,1,4,1,1,0,1,6,14,1
2ae0928e-22e9-40ca-ad99-d306f12c433c,8,446411.1942,447099.7692,0,0,3,0,0,4,0,0,0,3,3,1
31c74126-dbdc-4c0b-b896-d5467cb49c65,1,38.42662214,,1,0,10,0,2,1,2,0,5,13,3,5
31c74126-dbdc-4c0b-b896-d5467cb49c65,8,55.28730749,24753.8437,0,0,0,0,0,0,0,0,0,0,0,0
31c74126-dbdc-4c0b-b896-d5467cb49c65,1,450121.7024,460199.1553,10,26,330,30,50,27,155,0,208,331,36,41
31c74126-dbdc-4c0b-b896-d5467cb49c65,13,460.9546352,,0,0,0,3,0,2,1,0,1,5,1,1
31c74126-dbdc-4c0b-b896-d5467cb49c65,2,505.2977962,59.83857808,0,0,0,3,0,2,1,0,1,4,1,2
31c74126-dbdc-4c0b-b896-d5467cb49c65,23,39.01073164,,0,0,0,1,0,3,2,0,0,4,1,2
31c74126-dbdc-4c0b-b896-d5467cb49c65,1,10756.67616,37.9123442,4,2,46,12,9,6,9,0,14,83,5,14
31c74126-dbdc-4c0b-b896-d5467cb49c65,1,22.33613921,,0,0,1,1,1,0,0,0,1,1,1,1
31c74126-dbdc-4c0b-b896-d5467cb49c65,2,225370.8068,233628.0767,0,0,0,0,0,0,0,0,5,0,0,4
31c74126-dbdc-4c0b-b896-d5467cb49c65,2,,36.07950735,3,1,8,11,3,3,3,0,7,9,3,8
388b160a-ee89-4854-a744-0f908ab10074,1,4231.594884,2806.514376,1,0,3,0,0,0,0,0,7,3,0,1
388b160a-ee89-4854-a744-0f908ab10074,27,35.81925983,1884.717188,0,0,6,4,2,0,0,0,0,3,0,0
388b160a-ee89-4854-a744-0f908ab10074,2,865.134117,2624.116702,0,1,1,2,1,0,1,0,3,2,4,0
388b160a-ee89-4854-a744-0f908ab10074,8,1926.071947,61.10114464,0,0,1,2,2,1,3,0,1,2,0,2
388b160a-ee89-4854-a744-0f908ab10074,11,1813.382056,73.73012492,0,0,1,2,2,1,2,0,0,2,0,2
388b160a-ee89-4854-a744-0f908ab10074,1,1488.10148,595.6022109,0,1,4,5,0,2,1,0,1,1,1,2
388b160a-ee89-4854-a744-0f908ab10074,2,1582.3829,744.6508438,0,1,4,9,0,2,1,0,1,1,1,5
388b160a-ee89-4854-a744-0f908ab10074,3,1581.045914,934.7294542,0,1,1,7,0,0,1,0,1,1,1,5
388b160a-ee89-4854-a744-0f908ab10074,18,1609.69355,555.2429605,0,1,4,5,0,2,2,0,3,2,1,0
388b160a-ee89-4854-a744-0f908ab10074,3,1733.365749,542.8306664,0,0,4,7,1,2,1,0,4,2,1,2
388b160a-ee89-4854-a744-0f908ab10074,1,1572.774397,477.6750722,0,0,4,3,1,3,1,0,2,1,1,0
388b160a-ee89-4854-a744-0f908ab10074,1,2898.782346,1033.695038,0,1,4,2,2,1,2,0,2,5,2,0
388b160a-ee89-4854-a744-0f908ab10074,1,1733.845044,2158.764587,0,0,15,4,0,9,0,0,4,16,1,0
388b160a-ee89-4854-a744-0f908ab10074,2,2781.930703,1003.728906,0,1,2,2,2,1,2,0,2,1,3,0
388b160a-ee89-4854-a744-0f908ab10074,2,2674.331102,814.7738708,0,1,3,2,1,2,4,0,2,1,2,0
388b160a-ee89-4854-a744-0f908ab10074,2,2786.136779,922.6363074,0,1,4,1,2,1,2,0,2,5,2,0
388b160a-ee89-4854-a744-0f908ab10074,1,21641.27593,21784.89181,0,0,5,1,0,0,1,0,3,8,0,2
428d86fe-eaf2-417a-aaee-17fe1263c561,1,1161.715568,5101.668688,0,2,3,4,1,3,1,0,1,2,1,2
428d86fe-eaf2-417a-aaee-17fe1263c561,25,45.6082349,6254.454651,1,0,1,1,0,0,1,0,1,0,0,4
428d86fe-eaf2-417a-aaee-17fe1263c561,1,6280.140129,30.2233034,4,4,45,12,4,3,22,0,7,34,4,23
428d86fe-eaf2-417a-aaee-17fe1263c561,1,3371.523612,3045.529675,3,1,17,9,5,4,7,0,12,20,3,7
428d86fe-eaf2-417a-aaee-17fe1263c561,2,2909.993479,3388.826578,0,1,8,5,0,2,3,0,8,10,1,2
428d86fe-eaf2-417a-aaee-17fe1263c561,2,5209.612291,1819.916222,19,31,397,36,67,47,147,0,268,390,42,42
428d86fe-eaf2-417a-aaee-17fe1263c561,2,13582.93605,7535.819527,0,0,0,0,0,0,0,0,0,0,0,0
428d86fe-eaf2-417a-aaee-17fe1263c561,1,6906.371468,4278.589143,2,2,21,4,9,8,5,0,36,24,2,8
