home_gid9,car_tt_kfreq,pt_tt_kfreq,car_tt_kdist,pt_tt_kdist,poi_count,log_poi,pt_tt_diff,log_pt_diff,perc_pt_diff
8908996800fffff,13.278622328402596,6.737883866690003,6.344966573543845,6.844966573543845,4.0,1.6094379124341005,0.1070827068538413,0.0137438773307159,0.0156440072721058
8908996801bffff,17.0,31.0,17.0,31.0,10.0,2.3978952727983707,0.0,0.0,0.0
89089968063ffff,13.595275724388197,30.85380757740286,7.773037428529306,7.773037428529306,40.0,3.713572066704308,23.080770148873555,1.2894738325751889,2.969337322905512
89089968077ffff,8.0,8.0,8.0,8.0,21.0,3.091042453358316,0.0,0.0,0.0
89089968087ffff,5.775457953345757,6.0,5.775457953345757,6.0,12.0,2.5649493574615367,0.0,0.0,0.0
89089968097ffff,16.85525398855693,31.634813642723504,11.658703410680875,31.634813642723504,4.0,1.6094379124341005,0.0,0.0,0.0
890899680a3ffff,31.12674417221627,27.26259222419281,7.931080334737892,15.747294560705605,3.0,1.3862943611198906,11.515297663487209,0.5233023742664282,0.7312556210272115
890899680b3ffff,41.44670337748164,63.314725403970634,41.44670337748164,63.314725403970634,10.0,2.3978952727983707,0.0,0.0,0.0
890899680bbffff,21.5,59.0,21.5,59.0,4.0,1.6094379124341005,0.0,0.0,0.0
890899680c7ffff,5.719375771974117,5.719375771974117,5.719375771974117,5.719375771974117,8.0,2.1972245773362196,0.0,0.0,0.0
89089968103ffff,8.110715569218568,15.33234482540094,6.4276182911723065,10.17961897640794,24.0,3.218875824868201,5.152725848993001,0.379055100393233,0.5061806204077819
8908996811bffff,14.0,8.0,14.0,8.0,29.0,3.4011973816621555,0.0,0.0,0.0
89089968163ffff,54.9871009085845,54.9871009085845,6.984507694625888,6.984507694625888,62.0,4.143134726391533,48.00259321395861,1.9476181972907556,6.872723935989561
8908996818bffff,6.0,8.0,6.0,8.0,127.0,4.852030263919617,0.0,0.0,0.0
89089968193ffff,5.7500838176665505,5.7500838176665505,5.7500838176665505,5.7500838176665505,120.0,4.795790545596741,0.0,0.0,0.0
89089968197ffff,5.748847461242196,5.748847461242196,5.748847461242196,5.748847461242196,62.0,4.143134726391533,0.0,0.0,0.0
8908996819bffff,7.0,8.0,7.0,8.0,112.0,4.727387818712341,0.0,0.0,0.0
890899681a3ffff,21.631001981300173,33.420535615805605,16.747022899865,26.32101332740948,23.0,3.1780538303479458,7.099522288396127,0.2309972267800963,0.2697283041532073
890899681d7ffff,5.722113446745848,6.0,5.722113446745848,6.0,30.0,3.4339872044851463,0.0,0.0,0.0
8908996821bffff,13.627369867383027,24.0,5.917372907060207,8.35293023138293,38.0,3.6635616461296463,15.64706976861707,0.9831861369343676,1.873243201509
89089968227ffff,86.86213900579668,86.86213900579668,5.9897647647836045,5.9897647647836045,36.0,3.610917912644224,80.87237424101308,2.5313220812943382,13.501761323999975
89089968243ffff,26.929726733278933,30.429726733278933,5.681966240557895,5.681966240557895,46.0,3.8501476017100584,24.74776049272104,1.548341864690899,4.355492349826269
8908996824bffff,16.34013976642214,5.680279532844282,16.34013976642214,5.680279532844282,45.0,3.828641396489095,0.0,0.0,0.0
89089968257ffff,11.858967232566222,9.229909502148164,6.033363540248151,7.396363177738918,34.0,3.5553480614894135,1.8335463244092465,0.1975170765384826,0.2478983630668288
8908996825bffff,10.870248007074116,35.0,5.740496014148237,6.0,77.0,4.356708826689592,29.0,1.637608789400797,4.833333333333333
89089968267ffff,5.769025974714918,5.769025974714918,5.769025974714918,5.769025974714918,55.0,4.02535169073515,0.0,0.0,0.0
8908996826fffff,23.59665219043332,15.532869976723129,24.54527799258787,15.24770923889218,85.0,4.454347296253507,0.2851607378309495,0.0173985901443969,0.0187018740561757
89089968277ffff,13.403807242242374,58.5,13.403807242242374,58.5,48.0,3.8918202981106265,0.0,0.0,0.0
8908996827bffff,15.802048008091258,16.587925064977945,9.73293829512648,16.533425959260263,68.0,4.23410650459726,0.0544991057176815,0.0031034768236972,0.003296298410987
89089968283ffff,5.836904822857339,6.0,5.836904822857339,6.0,105.0,4.663439094112067,0.0,0.0,0.0
89089968287ffff,18.947186776297876,9.55032013383298,5.682739328473554,5.682739328473554,58.0,4.07753744390572,3.8675808053594256,0.4566282212989352,0.6805838842511716
8908996828fffff,13.450008608398432,40.87431479278317,13.476635867977322,35.748629585566334,71.0,4.276666119016055,5.125685207216833,0.1305716920790574,0.1433813062665303
8908996829bffff,5.729651227815549,5.729651227815549,5.729651227815549,5.729651227815549,149.0,5.0106352940962555,0.0,0.0,0.0
890899682a3ffff,10.435201772084186,17.6999443773317,13.420650792828178,28.587227240478608,31.0,3.4657359027997265,10.887282863146908,0.4588222066739873,0.380844311047098
890899682a7ffff,10.13626470532614,12.704397057989208,10.050601187052308,12.57590178057846,63.0,4.1588830833596715,0.1284952774107477,0.009420441355338,0.0102175795941082
890899682bbffff,9.0,20.625,8.25,10.0,63.0,4.1588830833596715,10.625,0.6759547800195724,1.0625
890899682c3ffff,17.950843786278607,48.131911226147295,7.075625256049852,11.339510003828757,142.0,4.962844630259907,36.79240122231854,1.381702437098022,3.244620024136464
890899682cbffff,7.0,10.0,6.3441544011049675,7.82438630897543,216.0,5.37989735354046,2.1756136910245703,0.2203762124564736,0.278055505583729
890899682cfffff,11.0,23.0,6.1017216675593415,12.0,44.0,3.80666248977032,11.0,0.613104472886409,0.9166666666666666
890899682d7ffff,18.859335002637913,10.294475688116677,15.564859314521238,7.0,93.0,4.543294782270004,3.294475688116675,0.3448721873412435,0.4706393840166679
89089968323ffff,38.95275269267143,114.5,23.58267862846482,55.31195094607479,43.0,3.784189633918261,59.18804905392521,0.7183637447660223,1.0700770455851276
8908996832bffff,16.092107847581367,50.98106703283374,14.604261440378613,44.50768920139048,49.0,3.912023005428146,6.4733778314432655,0.1329982516438557,0.1454440333253928
89089968337ffff,36.29011271223877,62.20499060723272,9.027401376750714,16.767138381419286,47.0,3.871201010907891,45.43785222581343,1.269032670639374,2.7099348256209272
8908996834fffff,7.363519383753293,11.9669693467837,6.090558151259881,9.0,10.0,2.3978952727983707,2.9669693467836993,0.2598202116294197,0.3296632607537443
89089968353ffff,15.959698463425983,23.059800741760785,9.0,21.0,10.0,2.3978952727983707,2.0598007417607853,0.089499975431595,0.0980857496076564
89089968357ffff,8.0,18.0,5.779014813429398,5.945566372570127,9.0,2.302585092994046,12.054433627429871,1.0063354551592372,2.0274659926500873
8908996836bffff,24.428474023585444,54.73799825705048,12.864521515704102,35.855049384208336,13.0,2.6390573296152584,18.882948872842142,0.4136694746642946,0.526646851619141
89089968373ffff,15.0,77.0,14.254135997108206,71.62977917917908,34.0,3.5553480614894135,5.370220820820919,0.0713338074288962,0.0749719025014375
8908996837bffff,11.5,23.5,8.5,21.898568583064993,11.0,2.4849066497880004,1.6014314169350072,0.067598716233888,0.0731295020887098
89089968387ffff,11.93756823483204,48.93756823483204,7.562704704496113,16.0,19.0,2.995732273553991,32.93756823483204,1.0775602458739906,2.0585980146770027
8908996838bffff,6.0,7.0,6.0,7.0,4.0,1.6094379124341005,0.0,0.0,0.0
8908996839bffff,15.566601567807036,8.349902351710552,10.0,8.349902351710552,5.0,1.791759469228055,0.0,0.0,0.0
890899683a3ffff,11.762785037841848,45.03128344855903,11.175161459735246,41.212158281169614,32.0,3.49650756146648,3.819125167389416,0.0866129498374075,0.0926698655608732
890899683a7ffff,9.5,18.75,9.5,18.25,39.0,3.688879454113936,0.5,0.0256424306133373,0.0273972602739726
890899683afffff,5.778966002810521,5.778966002810521,6.114459915286576,5.960623615584703,33.0,3.5263605246161616,0.181657612774182,0.0264444869109889,0.0304762763914866
890899683b3ffff,22.5,38.0,8.902203705119183,20.5,23.0,3.1780538303479458,17.5,0.5955087109960293,0.8536585365853658
890899683b7ffff,8.35627183085902,21.17346618624495,9.0,20.0,23.0,3.1780538303479458,1.1734661862449514,0.054373919477705,0.0586733093122475
